"complaint_id","complaint_text","complaint_date","complaint_source","complaint_language","customer_id","customer_type","city","state","product_category","product_name","payment_method","refund_requested","refund_status","delivery_partner","delivery_delay_days","complaint_status","first_response_time_minutes","resolution_time_hours","escalation_required","customer_feedback_rating","device_type","app_version","previous_complaints_count"
"CMP-2023-000015","Heat rejection from outdoor units is excessive. Adjacent areas are getting very hot. Ventilation design issue or unit fault? 😡 Very frustrated.","2024-06-03 09:42:00","Dealer","English","CUST-62743","Maintenance Manager","Jabalpur","Madhya Pradesh","Light Commercial","Ducted 40RUQ","Cheque","No","Not Requested","FedEx","3","Closed","180","0","No","1","Desktop","4.1.2","1"
"CMP-2024-000016","Third breakdown this year. We have CCTV footage of the same issue recurring. Requesting senior engineer visit and root cause analysis.","2023-10-18 16:42:00","SMS","Hinglish","CUST-53933","Office Admin","Ranchi","Jharkhand","Light Commercial","Carrier VRF X Power 38VYX","UPI","No","Not Requested","Delhivery","0","Open","30","504","Yes","1","Laptop","4.3.1","1"
"CMP-2025-000017","Because of your equipment failure, our restaurant had to shut for 2 days. Loss of business and spoiled inventory. This is unacceptable. Need resolution within 24 hours.","2024-04-20 01:35:00","Web Portal","English","CUST-69829","Hospital","Amritsar","Punjab","Air Purifiers","Air One AO-200","Purchase Order","No","Not Requested","Rivigo","30","Re-opened","20","504","No","4","iPad","4.0.0","2"
"CMP-2025-000018","Warranty claim rejected citing 'improper installation'. But installation was done by your own authorized dealer. Who is responsible?","2023-05-22 04:14:00","Dealer","Hindi","CUST-30028","Industrial Facility","Hyderabad","Telangana","Refrigeration","Screw Compressor Rack SR-20","RTGS","No","Not Requested","Mahindra Logistics","30","Open","25","240","No","5","Windows Tablet","3.1.0","6"
"CMP-2024-000019","AC chalta hai lekin thanda nahi karta bilkul bhi. Service wale bol rahe hain gas bharo, lekin pehle bhi 2 mahine mein bhara tha. Kya yahi quality hai Carrier ki? Escalating to consumer forum if not resolved by tomorrow.","2023-10-07 13:31:00","Email","English","CUST-54057","Cold Storage Operator","Noida","Uttar Pradesh","Light Commercial","Floor Standing 42NQ","Net Banking","No","Not Requested","Rivigo","0","Pending Parts","1440","720","No","1","Android Phone","2.8.5","0"
"CMP-2023-000020","AMC renewal done but service schedule not shared. Who is my assigned service engineer? No one tells me. We have a big client visit next week. Please prioritize.","2023-10-12 13:16:00","Phone","Hinglish","CUST-12540","Educational Institution","Chennai","Tamil Nadu","Air Purifiers","Klarwind KW-300","Debit Card","No","Not Requested","Blue Dart","0","Escalated","25","1","Yes","2","iPhone","3.3.5","0"
"CMP-2025-000021","The drain pan is overflowing. Unit installed 6 months ago and this is the 3rd time this is happening. Poor installation quality suspected. Please resolve on priority.","2023-11-15 03:37:00","Email","English","CUST-85470","Cold Storage Operator","Meerut","Uttar Pradesh","Light Commercial","Cassette 42UFS","Purchase Order","No","Not Requested","XpressBees","7","In Progress","15","72","No","1","iPad","3.2.1","0"
"CMP-2024-000022","Spare part availability is very poor for older models. Our unit is only 4 years old and parts are already out of stock?? Third time raising this complaint.","2024-01-06 20:57:00","Service Center","Tamil","CUST-30052","Pharma Company","Kanpur","Uttar Pradesh","Air Purifiers","OptiClean OC-400","EMI","No","Not Requested","Mahindra Logistics","30","Closed","90","36","No","1","Desktop","5.0.0","2"
"CMP-2024-000023","Third breakdown this year. We have CCTV footage of the same issue recurring. Requesting senior engineer visit and root cause analysis. Complaint ID from last time: 65075273","2025-03-27 08:21:00","Mobile App","Hinglish","CUST-46211","Educational Institution","Mumbai","Maharashtra","Light Commercial","Cassette 42UFS","UPI","No","Not Requested","FedEx","0","Escalated","15","504","No","2","Laptop","3.1.0","0"
"CMP-2024-000024","Called for emergency service. Was told technician will come in 4 hours. Waited 11 hours. No show. Third time raising this complaint.","2025-02-02 17:21:00","Walk-in","Hindi","CUST-69473","HVAC Contractor","Patna","Bihar","Air Purifiers","Klarwind KW-300","Debit Card","No","Not Requested","Ekart","15","In Progress","20","0","No","2","iPhone","4.0.0","0"
"CMP-2024-000025","Third breakdown this year. We have CCTV footage of the same issue recurring. Requesting senior engineer visit and root cause analysis. 😡 Very frustrated.","2023-01-15 22:34:00","WhatsApp","English","CUST-15965","Warehouse Operator","Jabalpur","Madhya Pradesh","Air Purifiers","OptiClean OC-800","Net Banking","No","Not Requested","Mahindra Logistics","1","Open","1440","72","No","2","Laptop","4.2.0","1"
"CMP-2023-000026","Partial refund received but deducted 20% without any explanation. No one is telling me why. I want full refund.","2025-04-10 18:19:00","Phone","English","CUST-25525","Educational Institution","Ranchi","Jharkhand","Refrigeration","Evaporator Unit EU-5000","Purchase Order","No","Not Requested","Ekart","1","Pending Parts","300","336","No","5","Laptop","4.1.2","0"
"CMP-2025-000027","Condensate drain is blocked. Water overflowing inside the unit and dropping on floor. Health hazard. Please resolve on priority.","2023-01-03 13:28:00","Chat Support","Hinglish","CUST-48175","Warehouse Operator","Thane","Maharashtra","Air Purifiers","OptiClean OC-800","NEFT","No","Not Requested","Mahindra Logistics","0","Escalated","45","24","Yes","3","Laptop","3.2.1","2"
"CMP-2023-000028","Outdoor unit installed at wrong orientation. Drainage blocked. Technician confirmed faulty installation but blaming us. 😡 Very frustrated.","2024-03-25 03:29:00","Mobile App","Hindi","CUST-62757","HVAC Contractor","Howrah","West Bengal","Refrigeration","Screw Compressor Rack SR-50","Debit Card","No","Not Requested","Blue Dart","30","Pending Customer","2880","48","Yes","1","iPhone","2.8.5","0"
"CMP-2025-000029","Refund rejected saying 'product opened'. But your own technician opened it during inspection! This is fraud. Third time raising this complaint.","2024-10-12 15:05:00","Service Center","English","CUST-63523","Facility Team","Vadodara","Gujarat","Commercial","Fan Coil Unit FCU-200","RTGS","No","Not Requested","Mahindra Logistics","12","Pending Parts","120","0","Yes","1","Android Phone","4.2.0","2"
"CMP-2024-000030","Water leak from ceiling mounted cassette unit. Staining the false ceiling and dripping on expensive equipment below. Complaint ID from last time: 80876038","2024-09-29 15:40:00","Service Center","Kannada","CUST-16764","Industrial Facility","Coimbatore","Tamil Nadu","Light Commercial","Carrier VRF X Power 38VYX","Cash","No","Not Requested","Mahindra Logistics","1","Open","5","48","No","3","Windows Tablet","3.3.5","3"
"CMP-2025-000031","Bhai ek baar thanda karta hai fir garam. On-off on-off. Compressor issue lagta hai. Please check karo. 😡 Very frustrated.","2024-06-05 22:17:00","Dealer","Hinglish","CUST-71894","Restaurant Owner","Amritsar","Punjab","Light Commercial","Floor Standing 42CF","UPI","No","Not Requested","Rivigo","2","In Progress","45","240","No","3","Desktop","3.1.0","3"
"CMP-2025-000032","Rattling noise from FCU started after technician visited. Did they tighten something wrongly? We have a big client visit next week. Please prioritize.","2024-04-11 10:55:00","Web Portal","Hindi","CUST-41300","Bank Branch","Faridabad","Haryana","Light Commercial","Floor Standing 42CF","Credit Card","Yes","Partially Processed","Mahindra Logistics","25","Pending Parts","10","24","No","2","Android Phone","3.3.5","0"
"CMP-2025-000033","Electricity bill doubled after installation of new Carrier unit. Star rating says 5-star but consumption is huge.","2024-04-25 08:21:00","Chat Support","Hindi","CUST-62098","Office Admin","Agra","Uttar Pradesh","Refrigeration","Inverter Condensing Unit ICU-10","Cash","No","Not Requested","Blue Dart","0","Escalated","5","72","No","3","Windows Tablet","3.2.1","0"
"CMP-2023-000034","Commissioning not done properly. Unit was just switched on and technician left. No testing, no parameter setting. 😡 Very frustrated.","2024-01-03 11:27:00","WhatsApp","English","CUST-79621","Pharma Company","Jodhpur","Rajasthan","Light Commercial","Ducted 40MAQ","Net Banking","Yes","Under Review","FedEx","7","Re-opened","1440","8","No","1","Windows Tablet","4.1.2","1"
"CMP-2024-000035","The FCU in server room has stopped maintaining temperature. Server temps rising. Critical situation - please escalate immediately. Third time raising this complaint.","2024-12-07 08:29:00","Mobile App","English","CUST-60422","IT Park","Ahmedabad","Gujarat","Light Commercial","Floor Standing 42CF","Purchase Order","Yes","Under Review","Amazon Logistics","12","Open","120","72","No","4","Android Phone","2.9.8","0"
"CMP-2025-000036","Compressor failure within 18 months. Manufacturer warranty should cover this. Do not send me to dealer. Carrier must take responsibility.","2024-10-04 20:02:00","Mobile App","English","CUST-14373","Bank Branch","Nashik","Maharashtra","Light Commercial","Cassette 42UFS","NEFT","Yes","Partially Processed","FedEx","3","Escalated","15","0","No","3","Tablet","4.1.2","1"
"CMP-2024-000037","Compressor failure within 18 months. Manufacturer warranty should cover this. Do not send me to dealer. Carrier must take responsibility. Complaint ID from last time: 51712368","2023-04-03 12:00:00","Mobile App","Hinglish","CUST-26199","Food Processing Unit","Nashik","Maharashtra","Air Purifiers","OptiClean OC-400","Cheque","No","Not Requested","Carrier Own Fleet","1","Escalated","360","1","Yes","4","Desktop","2.9.8","2"
"CMP-2025-000038","Gas leakage from the indoor unit. There is an oily stain near copper pipe joints. Very concerning.","2023-04-10 07:56:00","Social Media","English","CUST-60940","Food Processing Unit","Nashik","Maharashtra","Refrigeration","Evaporator Unit EU-5000","Net Banking","No","Not Requested","XpressBees","1","Re-opened","2880","240","No","1","Windows Tablet","4.2.0","1"
"CMP-2024-000039","AMC renewal done but service schedule not shared. Who is my assigned service engineer? No one tells me. Highly disappointed.","2023-05-06 14:05:00","SMS","English","CUST-94109","Data Centre","Delhi","Delhi","Commercial","Chiller AquaEdge 19DV","UPI","No","Not Requested","Shadowfax","5","In Progress","120","0","No","5","iPhone","4.0.0","4"
"CMP-2023-000040","Your customer care puts me on hold for 20+ minutes and then disconnects. This has happened 5 times now.","2023-01-16 11:50:00","Web Portal","Hinglish","CUST-52437","Supermarket","Kanpur","Uttar Pradesh","Air Purifiers","Klarwind KW-500","Net Banking","No","Not Requested","FedEx","1","In Progress","20","4","No","1","iPad","4.2.0","0"
"CMP-2025-000041","Water leak from ceiling mounted cassette unit. Staining the false ceiling and dripping on expensive equipment below.","2024-05-05 12:27:00","SMS","English","CUST-74260","Food Processing Unit","Hyderabad","Telangana","Commercial","Chiller AquaEdge 19DV","Purchase Order","No","Not Requested","DTDC","2","Closed","2880","24","Yes","4","Windows Tablet","4.2.0","6"
"CMP-2025-000042","Unit goes into protection mode due to high discharge temperature. Error E12 visible on panel. Ambient temp is 42C but unit is rated for 50C. Third time raising this complaint.","2024-04-07 07:26:00","Walk-in","English","CUST-62262","Pharma Company","Noida","Uttar Pradesh","Commercial","Chiller AquaEdge 19DV","Cheque","Yes","Partially Processed","Amazon Logistics","20","Resolved","10","504","Yes","1","iPad","3.2.1","0"
"CMP-2024-000043","Pani tapat raha hai AC se. Below mein customer seating area hai. Please immediately send someone. Third time raising this complaint.","2023-12-29 21:48:00","Dealer","Tamil","CUST-16743","Maintenance Manager","Kota","Rajasthan","Air Purifiers","Air One AO-100","Debit Card","No","Not Requested","Rivigo","5","Resolved","10","504","No","2","Desktop","5.1.3","5"
"CMP-2023-000044","Refund rejected saying 'product opened'. But your own technician opened it during inspection! This is fraud. This is absolutely ridiculous!!!","2023-01-30 05:17:00","Mobile App","English","CUST-56009","Supermarket","Kanpur","Uttar Pradesh","Light Commercial","Floor Standing 42CF","Debit Card","No","Not Requested","XpressBees","0","In Progress","20","0","No","1","Laptop","5.0.0","4"
"CMP-2023-000045","Evaporator icing up completely within 6 hours. Has to be manually defrosted. Happened every day this week.","2024-11-21 02:17:00","Service Center","Hindi","CUST-65576","IT Park","Kota","Rajasthan","Refrigeration","Screw Compressor Rack SR-20","NEFT","No","Not Requested","Rivigo","1","Pending Customer","240","6","No","5","Laptop","5.1.3","3"
"CMP-2023-000046","Called for emergency service. Was told technician will come in 4 hours. Waited 11 hours. No show. 😡 Very frustrated.","2023-12-02 03:00:00","Service Center","Telugu","CUST-66446","Retail Store","Jaipur","Rajasthan","Refrigeration","Evaporator Unit EU-3000","UPI","No","Not Requested","Rivigo","20","In Progress","180","2","No","1","Laptop","3.2.1","4"
"CMP-2025-000047","Unit delivered without accessories. Remote, drain pipes, all missing. Had to chase dealer for 1 week. Please don't just close the ticket without solving the issue.","2024-12-07 11:05:00","Dealer","English","CUST-41891","Pharma Company","Raipur","Chhattisgarh","Refrigeration","Evaporator Unit EU-3000","Debit Card","No","Not Requested","Amazon Logistics","15","Escalated","90","12","Yes","3","Windows Tablet","3.2.1","0"
"CMP-2025-000048","Installation team came, looked at the site, and left saying they need special equipment. No one has returned since. 10 days now.","2025-02-17 20:04:00","WhatsApp","Kannada","CUST-92306","IT Park","Amritsar","Punjab","Refrigeration","Supermarket Ref SMR-MultiDeck","Purchase Order","No","Not Requested","XpressBees","15","Pending Customer","15","336","Yes","2","Laptop","2.8.5","3"
"CMP-2024-000049","This is the 6th breakdown in 8 months. Every time technician comes, 'fixes' it, and within 2 weeks same problem returns. ENOUGH. Complaint ID from last time: 58147700","2023-10-21 02:41:00","Phone","Hinglish","CUST-87867","Mall Operator","Faridabad","Haryana","Refrigeration","Evaporator Unit EU-5000","EMI","No","Not Requested","Blue Dart","0","Escalated","90","48","No","3","iPhone","3.1.0","1"
"CMP-2023-000050","Electricity bill doubled after installation of new Carrier unit. Star rating says 5-star but consumption is huge. Please resolve on priority.","2024-01-08 11:58:00","Mobile App","English","CUST-63578","Facility Team","Mysuru","Karnataka","Commercial","Chiller AquaEdge 19DV","Debit Card","Yes","Pending","Rivigo","25","Closed","45","72","Yes","2","Desktop","3.2.1","1"
"CMP-2024-000051","Our cold room compressor is producing abnormal high-pitched squealing. Running but worrying about failure.","2024-11-17 22:53:00","SMS","Hinglish","CUST-22249","Pharma Company","Howrah","West Bengal","Air Purifiers","Klarwind KW-500","RTGS","Yes","Approved","Ekart","15","Re-opened","25","36","No","2","Android Phone","4.1.2","0"
"CMP-2025-000052","Waiting for spare parts for 35 days. Technician has identified fault. Parts stuck in warehouse apparently. No timeline given. Please resolve on priority.","2025-01-08 14:02:00","Dealer","English","CUST-98652","Restaurant Owner","Aurangabad","Maharashtra","Air Purifiers","OptiClean OC-800","Cash","No","Not Requested","Rivigo","7","Closed","60","504","No","3","Desktop","2.8.5","1"
"CMP-2024-000053","Ghar mein rat ko bahut awaaz aati hai outdoor unit se. Neend nahi aa rahi. Koi solution hai?","2024-10-18 15:55:00","Walk-in","Hinglish","CUST-23446","Mall Operator","Pune","Maharashtra","Air Purifiers","Klarwind KW-500","Net Banking","Yes","Processed","Rivigo","2","Pending Parts","10","36","No","1","Desktop","3.1.0","0"
"CMP-2023-000054","Temperature in storage went to 12C during night without any alarm. Dairy products spoiled. Need investigation. Will share on social media if no action.","2025-03-21 04:08:00","Email","English","CUST-71925","Hospital","Ranchi","Jharkhand","Refrigeration","Screw Compressor Rack SR-50","Purchase Order","Yes","Pending","Blue Dart","10","Escalated","120","8","Yes","1","Tablet","4.3.1","0"
"CMP-2024-000055","Service engineer came without tools. Wasted our time. Came again next day with wrong parts. Still not fixed. Under warranty. Do not charge us.","2024-09-03 17:01:00","SMS","Hinglish","CUST-85372","Restaurant Owner","Vijayawada","Andhra Pradesh","Light Commercial","Carrier VRF X Power 38VYX","Cheque","Yes","Under Review","Carrier Own Fleet","7","Pending Parts","20","72","No","1","Tablet","4.2.0","0"
"CMP-2025-000056","Waiting for spare parts for 35 days. Technician has identified fault. Parts stuck in warehouse apparently. No timeline given.","2023-12-20 07:46:00","SMS","Hindi","CUST-23587","Bank Branch","Gurugram","Haryana","Air Purifiers","Klarwind KW-300","Credit Card","Yes","Under Review","Carrier Own Fleet","3","Re-opened","15","504","No","2","iPad","3.3.5","0"
"CMP-2025-000057","AMC contract signed 6 months ago. Only one service visit done so far. Quarterly service is not happening as promised. We have a big client visit next week. Please prioritize.","2025-04-14 17:30:00","Mobile App","English","CUST-94790","Industrial Facility","Kochi","Kerala","Air Purifiers","Klarwind KW-500","RTGS","Yes","Pending","Carrier Own Fleet","30","Pending Parts","20","336","No","4","iPhone","5.0.0","0"
"CMP-2024-000058","Unit goes into protection mode due to high discharge temperature. Error E12 visible on panel. Ambient temp is 42C but unit is rated for 50C. Will share on social media if no action.","2023-04-16 02:20:00","SMS","English","CUST-50173","Food Processing Unit","Kota","Rajasthan","Refrigeration","Condensing Unit CR-5HP","Cash","Yes","Processed","Blue Dart","20","Pending Parts","45","24","No","1","Android Phone","2.8.5","6"
"CMP-2024-000059","Heat rejection from outdoor units is excessive. Adjacent areas are getting very hot. Ventilation design issue or unit fault? Escalating to consumer forum if not resolved by tomorrow.","2025-03-08 20:23:00","Walk-in","English","CUST-84349","Warehouse Operator","Kota","Rajasthan","Light Commercial","Floor Standing 42NQ","RTGS","Yes","Processed","DTDC","2","Pending Customer","180","96","No","4","iPhone","3.2.1","0"
"CMP-2025-000060","App update 5.1.3 broke everything. Before update all features worked fine. Please rollback or fix. 😡 Very frustrated.","2024-12-11 15:12:00","Phone","English","CUST-19706","Food Processing Unit","Kanpur","Uttar Pradesh","Refrigeration","Modular Cold Room MCR-25","RTGS","No","Not Requested","Carrier Own Fleet","0","Closed","60","12","No","2","iPad","4.2.0","0"
"CMP-2023-000061","Condensate drain is blocked. Water overflowing inside the unit and dropping on floor. Health hazard. Please don't just close the ticket without solving the issue.","2025-04-02 17:08:00","Chat Support","English","CUST-18617","Maintenance Manager","Meerut","Uttar Pradesh","Refrigeration","Evaporator Unit EU-3000","Cheque","No","Not Requested","Shadowfax","0","Resolved","90","24","Yes","1","Laptop","2.8.5","0"
"CMP-2024-000062","EcoAdvance controller crashing randomly. Display goes blank. Restarts after 10-15 mins. Very disruptive for our hotel operations.","2023-11-08 05:10:00","Walk-in","Tamil","CUST-39552","Commercial Building Operator","Ghaziabad","Uttar Pradesh","Air Purifiers","Klarwind KW-500","NEFT","No","Not Requested","XpressBees","2","Closed","15","24","No","1","Tablet","3.2.1","0"
"CMP-2025-000063","Login OTP not coming. Tried 3 times. Customer care line is always busy. App is useless.","2023-03-25 01:41:00","Chat Support","English","CUST-95344","Industrial Facility","Bhubaneswar","Odisha","Refrigeration","Evaporator Unit EU-5000","Credit Card","No","Not Requested","XpressBees","2","Closed","5","72","No","3","iPad","2.8.5","6"
"CMP-2024-000064","AMC contract signed 6 months ago. Only one service visit done so far. Quarterly service is not happening as promised.","2023-11-17 22:20:00","Walk-in","English","CUST-27139","Commercial Building Operator","Howrah","West Bengal","Commercial","Chiller AquaEdge 19DV","UPI","No","Not Requested","DTDC","10","Re-opened","30","8","Yes","1","Desktop","4.3.1","0"
"CMP-2023-000065","The iOS app version 4.2.0 randomly logs me out. Have to re-enter credentials daily. Bug please fix. Under warranty. Do not charge us.","2023-11-12 15:01:00","Phone","English","CUST-76249","Food Processing Unit","Bhopal","Madhya Pradesh","Light Commercial","Carrier VRF X Power 40VYX","Credit Card","Yes","Rejected","Mahindra Logistics","0","Closed","720","1","No","2","Laptop","3.3.5","2"
"CMP-2025-000066","Cold room not reaching setpoint of -18C. Best we get is -12C. Compressor running 100% time. Possible refrigerant undercharge. 😡 Very frustrated.","2023-03-17 12:32:00","Service Center","Kannada","CUST-82070","HVAC Contractor","Guwahati","Assam","Commercial","Fan Coil Unit FCU-200","Debit Card","No","Not Requested","Carrier Own Fleet","15","Pending Customer","30","8","No","1","Tablet","4.3.1","0"
"CMP-2023-000067","Compressor making very loud knocking sound since morning. Afraid it might fail completely. Please send technician.","2023-12-02 19:20:00","WhatsApp","English","CUST-90805","Maintenance Manager","Raipur","Chhattisgarh","Air Purifiers","OptiClean OC-400","EMI","No","Not Requested","Mahindra Logistics","12","Re-opened","120","1","No","4","Windows Tablet","3.2.1","0"
"CMP-2025-000068","Our cold room compressor is producing abnormal high-pitched squealing. Running but worrying about failure. Under warranty. Do not charge us.","2023-06-24 16:40:00","Chat Support","Kannada","CUST-59832","Hospital","Mysuru","Karnataka","Light Commercial","Cassette 42UFC","Purchase Order","No","Not Requested","DTDC","5","Open","300","96","No","2","Laptop","5.2.1","1"
"CMP-2024-000069","Heat rejection from outdoor units is excessive. Adjacent areas are getting very hot. Ventilation design issue or unit fault? Need resolution within 24 hours.","2024-01-21 10:11:00","Service Center","Hinglish","CUST-54869","Educational Institution","Ludhiana","Punjab","Air Purifiers","OptiClean OC-400","Cash","No","Not Requested","Ekart","10","Closed","30","72","No","4","Windows Tablet","4.0.0","0"
"CMP-2024-000070","Compressor failure within 18 months. Manufacturer warranty should cover this. Do not send me to dealer. Carrier must take responsibility. Complaint ID from last time: 84419866","2025-03-02 04:18:00","Email","English","CUST-20358","Commercial Building Operator","Aurangabad","Maharashtra","Air Purifiers","OptiClean OC-800","Cash","No","Not Requested","Ekart","2","Closed","720","168","No","2","Android Phone","2.9.8","2"
"CMP-2023-000071","Compressor failed completely. Unit is under warranty. Require immediate replacement not repair. Do not waste my time.","2024-07-17 05:26:00","SMS","Hinglish","CUST-72580","Industrial Facility","Ranchi","Jharkhand","Air Purifiers","Air One AO-100","NEFT","No","Not Requested","Blue Dart","0","Escalated","720","2","No","2","iPad","3.3.5","0"
"CMP-2024-000072","Warranty claim rejected citing 'improper installation'. But installation was done by your own authorized dealer. Who is responsible? 😡 Very frustrated.","2024-04-10 20:34:00","Social Media","Hinglish","CUST-27589","Mall Operator","Amritsar","Punjab","Air Purifiers","Klarwind KW-300","Debit Card","Yes","Approved","Mahindra Logistics","10","Resolved","5","96","No","4","Tablet","2.8.5","1"
"CMP-2023-000073","Support agent was dismissive and rude. Did not let me complete my complaint. Terrible customer experience.","2024-05-03 10:59:00","Web Portal","English","CUST-44181","Cold Storage Operator","Bhopal","Madhya Pradesh","Refrigeration","Inverter Condensing Unit ICU-5","RTGS","Yes","Under Review","Shadowfax","0","Closed","5","120","No","3","Android Phone","2.8.5","0"
"CMP-2024-000074","Vibration from the compressor unit is shaking the entire wall. Noise level measured at 78 dB. Far above spec. Escalating to consumer forum if not resolved by tomorrow.","2023-05-17 15:09:00","Service Center","Telugu","CUST-89395","Commercial Building Operator","Rajkot","Gujarat","Refrigeration","Evaporator Unit EU-3000","UPI","No","Not Requested","XpressBees","0","Re-opened","480","168","No","1","Tablet","3.2.1","0"
"CMP-2025-000075","Outdoor unit is extremely hot to touch. Fan seems to be running slowly. Is this a condenser issue? Highly disappointed.","2025-01-04 18:31:00","Phone","Hinglish","CUST-68390","Warehouse Operator","Amritsar","Punjab","Light Commercial","Floor Standing 42CF","Cash","No","Not Requested","Blue Dart","2","Re-opened","10","72","No","1","Laptop","4.1.2","0"
