complaint_id,complaint_text,complaint_date,complaint_source,complaint_language,customer_id,customer_type,city,state,product_category,product_name,payment_method,refund_requested,refund_status,delivery_partner,delivery_delay_days,complaint_status,first_response_time_minutes,resolution_time_hours,escalation_required,customer_feedback_rating,device_type,app_version,previous_complaints_count
C00011,"Sir hum bahut pareshan hain. Humara Carrier Inverter Floor 3TR making a grinding noise de raha hai 1 hafte se. Aapke service center mein complaint di, koi update nahi aaya. Manager se request ki baat karne ki, woh bhi busy hain. Yeh kya service hai? Carrier se itni umeed nahi thi hume.",21-06-2023,Web Portal,Hinglish,CUS-88895,HVAC Contractor,Tiruppur,Tamil Nadu,Floor Standing AC,Carrier Inverter Floor 3TR,Credit Card,Yes,Approved,Self-Delivery,19,Resolved,502,219,No,4,Desktop,NA,7
C00012,"Writing this with a lot of frustration and genuine distress. Our Carrier 39L Series started airflow dropped significantly and we have 2570 kg of vegetables which is now getting spoiled. This is our entire livelihood. My family depends on this business. I trusted Carrier because everyone said it's a reliable brand. Please, please send someone today. Job card #120801 already logged. AMC contract active till 2025.",27-01-2022,App,English,CUS-24014,Restaurant,Patna,Bihar,Commercial Air Handler,Carrier 39L Series,UPI,No,NA,Self-Delivery,0,Escalated,45,,Yes,,Mobile,3.3.3,1
C00013,"Oh absolutely FANTASTIC service as always! The Carrier 38KQX Cassette has been shutting down every 45 minutes for 15 days now. Your team promised a visit in 24 hours - that was 3 weeks ago. I'm sure the engineer is just taking a very long scenic route to our location. 10 out of 10, would absolutely not recommend.",25-01-2023,Phone,English,CUS-29531,Retail Store,Jaipur,Rajasthan,Cassette AC,Carrier 38KQX Cassette,Cheque,No,NA,Delhivery,14,Escalated,521,,Yes,,NA,NA,4
C00014,"EMERGENCY complaint - Carrier MultiDeck MD-2000 is drain blocked causing water on shop floor. We have a full load of meat in storage. If cooling is not restored within the next few hours everything will be lost. I have been trying to reach your emergency helpline but nobody is picking up. This is a critical situation, please treat it as one!!! Job card #304579 already logged.",21-02-2022,Web Portal,English,CUS-52419,Office Building,Raipur,Chhattisgarh,Supermarket Refrigeration,Carrier MultiDeck MD-2000,Purchase Order,No,NA,DTDC,17,Resolved,1390,658,No,2,Desktop,NA,1
C00015,Good day. I am registering a formal complaint regarding the Carrier ComfortPro CU-5TR installed at our premises. The unit started oil level critically low recently and we require urgent technical assistance. Our operations depend on this equipment functioning reliably. Please send a qualified technician at the earliest and do keep us updated on timelines. Thank you.,29-12-2024,Web Portal,English,CUS-18952,Pharmacy,Ahmedabad,Gujarat,Condensing Unit,Carrier ComfortPro CU-5TR,Cheque,Yes,Pending,Self-Delivery,11,Open,317,,No,,Desktop,NA,2
C00016,Following up on complaint for Carrier ModuCold 15x20 which is door seal damaged causing warm air ingress. Response time so far has exceeded SLA. Please update on spare part availability and engineer visit schedule. Operations are being impacted.,01-05-2023,Web Portal,Hinglish,CUS-87781,Pharmacy,Ranchi,Jharkhand,Modular Cold Room,Carrier ModuCold 15x20,Cash,Yes,Approved,Blue Dart,8,Resolved,1399,102,No,1,Desktop,NA,5
C00017,Congratulations Carrier! Your Air One AO-Max managed to start air quality not improving despite running all day in just 18 months. Quite an achievement. And the support team is equally impressive - they have promised a callback 4 times now and each time they deliver on that promise by never calling. Outstanding work all around. Job card #462410 already logged. AMC contract active till 2026.,24-03-2022,App,English,CUS-80202,Diagnostic Laboratory,Mangaluru,Karnataka,Air One Purifier,Air One AO-Max,Credit Card,No,NA,DTDC,14,In Progress,148,,Yes,,Mobile,4.2.5,5
C00018,"This is absolutely unacceptable!! Our Carrier AHU 30RB has been stopped cooling completely for the past 9 days and not a single person from your team has come to fix it. I have called 12 times, each time your team says 'engineer will visit tomorrow'. Nobody comes. We are losing business every single day. If this is not resolved urgently I will have no choice but to approach consumer court and post this everywhere.",29-04-2024,Phone,Hinglish,CUS-36331,HVAC Contractor,Pune,Maharashtra,Commercial Air Handler,Carrier AHU 30RB,EMI,Yes,Approved,Delhivery,22,Closed,311,709,No,1,Tablet,NA,5
C00019,Service escalation for Carrier ReFlex SM Series: LED lighting strip failed. This is the second occurrence in 16 months. Previous job card details available. Requesting escalation to resolve root cause rather than temporary fix.,09-04-2022,App,English,CUS-90881,Retail Store,Kolkata,West Bengal,Supermarket Refrigeration,Carrier ReFlex SM Series,Cash,No,NA,Delhivery,23,Open,990,,No,,Mobile,4.2.5,5
C00020,The Carrier 1.5T Cassette at our facility is rattling sound at high speed. Our maintenance team has inspected but the issue requires certified Carrier service. Active AMC in place. Please prioritize and confirm visit schedule.,27-05-2024,Phone,English,CUS-93487,Meat Processing Unit,Muzaffarpur,Bihar,Cassette AC,Carrier 1.5T Cassette,Cash,No,NA,DTDC,23,Closed,541,450,No,3,NA,NA,0
C00021,I'm honestly at a breaking point. We spent everything we had on this Klarwind KW-250 and now it's fan speed not changing. The technician visits have not solved anything and your support team seems to have no urgency about this at all. We are hemorrhaging money every single day. I'm requesting you as a human being - please help us resolve this. Job card #135086 already logged.,29-05-2024,Web Portal,English,CUS-25955,Hospital,Bhubaneswar,Odisha,Klarwind Air Purifier,Klarwind KW-250,Cash,No,NA,Delhivery,1,In Progress,405,,No,,Desktop,NA,2
C00022,Quite disappointed with the experience so far. The Carrier 2TR Cassette has been suspected gas leak and the service response has been painfully slow. We have an AMC with your company but it doesn't seem to make any difference. The technician who came was not familiar with this model and couldn't resolve the issue. We hope someone senior can take this up.,22-08-2024,Service Center,English,CUS-98669,Restaurant,Mumbai,Maharashtra,Cassette AC,Carrier 2TR Cassette,Cheque,Yes,Rejected,DTDC,25,In Progress,824,,Yes,,Tablet,NA,4
C00023,Urgent escalation needed. The Carrier EC-750 at our facility started loud noise from fan section at midnight. We are a dairy plant with live perishable stock. Losses are already beginning. Your normal service TAT of 24-48 hours is not acceptable in this situation. We need a technician on-site in the next 2 hours. Please confirm immediately.,17-08-2022,Email,English,CUS-60209,Brewery,Udaipur,Rajasthan,Evaporator Unit,Carrier EC-750,Cheque,Yes,Rejected,Delhivery,17,Escalated,166,,Yes,,Desktop,NA,4
C00024,Complaint regarding Carrier 5TR Floor Mount: unit has been water pooling on the floor beneath unit. Job card 844650 already raised. Requesting immediate technical support as business operations are directly impacted. Please assign a senior engineer.,27-12-2022,Email,English,CUS-20998,Hospital,Patna,Bihar,Floor Standing AC,Carrier 5TR Floor Mount,Credit Card,Yes,Approved,Blue Dart,7,In Progress,523,,No,,Phone Call,NA,6
C00025,Quite disappointed with the experience so far. The Carrier VRF X Power 16TR has been system stopped after power fluctuation and the service response has been painfully slow. We have an AMC with your company but it doesn't seem to make any difference. The technician who came was not familiar with this model and couldn't resolve the issue. We hope someone senior can take this up.,11-06-2022,App,English,CUS-42918,Data Center,Haridwar,Uttarakhand,Carrier VRF X Power,Carrier VRF X Power 16TR,Credit Card,Yes,Approved,FedEx,0,Escalated,149,,Yes,,Mobile,2.0.3,2
C00026,Formal complaint: Carrier ModuCold 15x20 installed 7 months ago is now condensation forming on ceiling. Warranty is still valid. Requesting warranty repair at the earliest. Please confirm receipt of this complaint. 😡 AMC contract active till 2027.,18-02-2023,App,English,CUS-33947,Industrial Unit,Howrah,West Bengal,Modular Cold Room,Carrier ModuCold 15x20,NEFT,No,NA,FedEx,23,Escalated,437,,Yes,,Mobile,2.2.7,1
C00027,Quite disappointed with the experience so far. The Carrier InvCU-3TR has been showing error code on display panel and the service response has been painfully slow. We have an AMC with your company but it doesn't seem to make any difference. The technician who came was not familiar with this model and couldn't resolve the issue. We hope someone senior can take this up.,14-09-2022,Web Portal,English,CUS-79223,Brewery,Salem,Tamil Nadu,Inverter Condensing Unit,Carrier InvCU-3TR,Cash,No,NA,Blue Dart,4,Resolved,144,659,No,1,Desktop,NA,2
C00028,"Writing this with a lot of frustration and genuine distress. Our Air One AO-Mini started showing E2 error on display and we have 693 kg of frozen goods which is now getting spoiled. This is our entire livelihood. My family depends on this business. I trusted Carrier because everyone said it's a reliable brand. Please, please send someone today.",01-09-2024,WhatsApp,English,CUS-26405,Food Processing Unit,Dehradun,Uttarakhand,Air One Purifier,Air One AO-Mini,Cheque,No,NA,Self-Delivery,18,Escalated,213,,Yes,,Mobile,NA,7
C00029,Quite disappointed with the experience so far. The Carrier 38CDQ has been loud rumbling from return duct and the service response has been painfully slow. We have an AMC with your company but it doesn't seem to make any difference. The technician who came was not familiar with this model and couldn't resolve the issue. We hope someone senior can take this up.,23-09-2024,Web Portal,Hinglish,CUS-78116,Bakery,Anand,Gujarat,Ducted AC,Carrier 38CDQ,Credit Card,No,NA,Self-Delivery,13,Resolved,629,682,Yes,5,Desktop,NA,6
C00030,"You people took ₹75,000 from us and your Carrier Screw Pack 20TR cannot even function properly for 8 months!! It has been oil separator blocked and your so-called support team keeps giving excuses. Done waiting. I want a full refund or brand new replacement. Not interested in any more repairs.",26-09-2024,Phone,English,CUS-53445,Cold Storage Operator,Bhopal,Madhya Pradesh,Screw Compressor Rack,Carrier Screw Pack 20TR,NEFT,No,NA,DTDC,6,Resolved,1170,439,No,3,Phone Call,NA,1
C00031,The Carrier 30XA at our facility is leaking refrigerant. Our maintenance team has inspected but the issue requires certified Carrier service. Active AMC in place. Please prioritize and confirm visit schedule.,23-06-2024,App,English,CUS-70487,Dairy Plant,Vadodara,Gujarat,Chiller/Heat Pump,Carrier 30XA,Cash,No,NA,NA,0,In Progress,1098,,No,,Mobile,3.6.8,2
C00032,Following up on complaint for Carrier 39XQ which is water leaking from the unit. Response time so far has exceeded SLA. Please update on spare part availability and engineer visit schedule. Operations are being impacted.,19-11-2022,Phone,English,CUS-61215,Ice Cream Parlour,Chandigarh,Punjab,Commercial Air Handler,Carrier 39XQ,Credit Card,No,NA,DTDC,15,Open,610,,Yes,,Tablet,NA,7
C00033,"Hello, I would like to follow up on my earlier service request regarding our Carrier Greencase Display. The unit has been defrost not triggering at scheduled time and while a technician visited 4 days ago, the issue recurred shortly after. We operate a Flower Shop and this is affecting our day-to-day operations. A swift resolution would be greatly appreciated. Regards.",25-10-2022,Web Portal,English,CUS-69222,Flower Shop,Faridabad,Haryana,Supermarket Refrigeration,Carrier Greencase Display,Credit Card,Yes,Pending,NA,0,Resolved,978,340,No,1,Desktop,NA,7
C00034,"Wow, what a premium experience this has been. Spent ₹180,000 on the Carrier 38AKS and it's already high discharge pressure alarm. Your customer support put me on hold for 40 minutes and then disconnected. Truly five-star service. Really makes a customer feel valued.",15-04-2023,Field Engineer,English,CUS-58649,Office Building,Bilaspur,Chhattisgarh,Condensing Unit,Carrier 38AKS,Purchase Order,Yes,Approved,Blue Dart,10,In Progress,1072,,No,,Desktop,NA,6
C00035,"When we chose Carrier we thought we were choosing reliability and strong after-sales support. Unfortunately that's not been our experience. The Carrier 38QUS is condensate overflowing into ductwork and has been for 3 weeks. Multiple calls and one failed service visit later, we still have the same problem. Very disappointing. 😤",27-05-2022,Phone,Hinglish,CUS-66346,Industrial Unit,Gurgaon,Haryana,Ducted AC,Carrier 38QUS,NEFT,Yes,Rejected,Delhivery,21,Open,214,,No,,Tablet,NA,5
C00036,Formal complaint: Carrier SlimLine Ducted installed 6 months ago is now duct leakage causing warm air. Warranty is still valid. Requesting warranty repair at the earliest. Please confirm receipt of this complaint.,22-09-2022,Service Center,English,CUS-21877,Ice Cream Parlour,Haridwar,Uttarakhand,Ducted AC,Carrier SlimLine Ducted,Cash,No,NA,Blue Dart,18,Closed,102,349,Yes,4,NA,NA,4
C00037,Service escalation for OptiClean OC-HEPA Plus: not reducing dust levels. This is the second occurrence in 2 months. Previous job card details available. Requesting escalation to resolve root cause rather than temporary fix.,09-04-2022,Web Portal,English,CUS-89413,Cold Storage Operator,Delhi,Delhi,OptiClean Purifier,OptiClean OC-HEPA Plus,Purchase Order,Yes,Approved,Blue Dart,23,In Progress,173,,Yes,,Desktop,NA,1
C00038,"Sir hum bahut pareshan hain. Humara Carrier 50XC Floor Stand unit body getting very hot de raha hai 3 hafte se. Aapke service center mein complaint di, koi update nahi aaya. Manager se request ki baat karne ki, woh bhi busy hain. Yeh kya service hai? Carrier se itni umeed nahi thi hume.",04-01-2024,Field Engineer,Hinglish,CUS-49961,Retail Store,Gaya,Bihar,Floor Standing AC,Carrier 50XC Floor Stand,NEFT,No,NA,Self-Delivery,23,Closed,1150,430,No,3,Tablet,NA,7
C00039,"Complaint regarding Air One AO-Mini: unit has been showing E2 error on display. Job card 342787 already raised. Requesting immediate technical support as business operations are directly impacted. Please assign a senior engineer. Spare part ordered 15 days ago, still not received.",03-09-2022,WhatsApp,English,CUS-61568,Retail Store,Kolkata,West Bengal,Air One Purifier,Air One AO-Mini,Credit Card,No,NA,DTDC,21,Open,535,,No,,Mobile,NA,5
C00040,Third time I am raising a complaint for the exact same problem. The Carrier 38CDQ is static pressure too high AGAIN. After the first repair your team said it's fixed permanently. Then second time same story. Now it's back again. Your engineers clearly don't know what they are doing or don't care. I want a complete unit replacement NOW.,13-07-2022,Web Portal,English,CUS-94434,Bakery,Mangaluru,Karnataka,Ducted AC,Carrier 38CDQ,Cheque,Yes,Approved,FedEx,8,In Progress,1094,,No,,Desktop,NA,1
C00041,The Carrier EVCU-1000 at our facility is evaporator coil leaking refrigerant. Our maintenance team has inspected but the issue requires certified Carrier service. Active AMC in place. Please prioritize and confirm visit schedule.,14-01-2022,Field Engineer,English,CUS-85978,Supermarket,Bhopal,Madhya Pradesh,Evaporator Unit,Carrier EVCU-1000,Credit Card,Yes,Approved,FedEx,3,Resolved,34,612,No,3,Phone Call,NA,0
C00042,"Oh absolutely FANTASTIC service as always! The Air One AO-Max has been WiFi module not connecting for 6 days now. Your team promised a visit in 24 hours - that was 2 weeks ago. I'm sure the engineer is just taking a very long scenic route to our location. 10 out of 10, would absolutely not recommend. 😡 Job card #701894 already logged. AMC contract active till 2025.",15-01-2022,Service Center,English,CUS-36144,Shopping Mall,Amritsar,Punjab,Air One Purifier,Air One AO-Max,UPI,No,NA,Self-Delivery,3,Escalated,1061,,Yes,,Phone Call,NA,6
C00043,"To Whom It May Concern, we installed the Carrier 4TR Ducted approximately 15 months ago and have recently encountered the issue of static pressure too high. Despite a technician visit, the problem has not been resolved. We would be grateful if this could be escalated to ensure a permanent fix. We continue to have faith in the Carrier brand and hope for a prompt response. AMC contract active till 2027.",06-02-2024,Email,English,CUS-32727,Flower Shop,Kozhikode,Kerala,Ducted AC,Carrier 4TR Ducted,Credit Card,No,NA,Self-Delivery,0,Open,88,,No,,Tablet,NA,2
C00044,Good day. I am registering a formal complaint regarding the Carrier ComfortPro CU-5TR installed at our premises. The unit started oil level critically low recently and we require urgent technical assistance. Our operations depend on this equipment functioning reliably. Please send a qualified technician at the earliest and do keep us updated on timelines. Thank you.,08-02-2022,Phone,English,CUS-64937,Office Building,Bengaluru,Karnataka,Condensing Unit,Carrier ComfortPro CU-5TR,Cash,No,NA,Blue Dart,3,Closed,599,235,No,2,Desktop,NA,6
C00045,I'm honestly at a breaking point. We spent everything we had on this Carrier VRF X Power 8TR and now it's outdoor unit showing E7 error. The technician visits have not solved anything and your support team seems to have no urgency about this at all. We are hemorrhaging money every single day. I'm requesting you as a human being - please help us resolve this.,14-02-2022,Email,English,CUS-84306,Pharmacy,Bilaspur,Chhattisgarh,Carrier VRF X Power,Carrier VRF X Power 8TR,Cash,Yes,Pending,NA,0,In Progress,587,,Yes,,Tablet,NA,5
C00046,"Oh absolutely FANTASTIC service as always! The Carrier 50XC Floor Stand has been not cooling for 10 days now. Your team promised a visit in 24 hours - that was 1 weeks ago. I'm sure the engineer is just taking a very long scenic route to our location. 10 out of 10, would absolutely not recommend. AMC contract active till 2026.",16-10-2022,App,English,CUS-88495,Shopping Mall,Rajkot,Gujarat,Floor Standing AC,Carrier 50XC Floor Stand,Cheque,No,NA,FedEx,3,In Progress,568,,No,,Mobile,2.1.1,1
C00047,"When we chose Carrier we thought we were choosing reliability and strong after-sales support. Unfortunately that's not been our experience. The Carrier ModuCold 10x10 is evaporator icing up completely and has been for 4 weeks. Multiple calls and one failed service visit later, we still have the same problem. Very disappointing.",21-02-2022,WhatsApp,English,CUS-77981,Diagnostic Laboratory,Bikaner,Rajasthan,Modular Cold Room,Carrier ModuCold 10x10,Cheque,No,NA,NA,0,Open,1206,,No,,Mobile,NA,7
C00048,"I don't know what else to do. The Carrier FCU 4-Pipe has been water overflowing from the drain tray for 8 days and we've lost so much already. We are a small family-run business and every day without this equipment working is pushing us further into losses. I've called 8 times, raised tickets, even came to the service center personally. Nothing has worked. Please someone help us.",22-12-2023,App,English,CUS-19523,Textile Factory,Indore,Madhya Pradesh,Fan Coil Unit,Carrier FCU 4-Pipe,Cheque,Yes,Rejected,DTDC,1,In Progress,1361,,Yes,,Mobile,2.6.1,5
C00049,"When we chose Carrier we thought we were choosing reliability and strong after-sales support. Unfortunately that's not been our experience. The Klarwind KW-250 is UV lamp failed and has been for 3 weeks. Multiple calls and one failed service visit later, we still have the same problem. Very disappointing. AMC contract active till 2025.",16-07-2022,Field Engineer,Hindi-English,CUS-32579,Warehouse,Gurgaon,Haryana,Klarwind Air Purifier,Klarwind KW-250,Cheque,No,NA,Blue Dart,3,Resolved,648,324,Yes,5,NA,NA,2
C00050,Service escalation for Carrier 39XQ: airflow dropped significantly. This is the second occurrence in 3 months. Previous job card details available. Requesting escalation to resolve root cause rather than temporary fix. Job card #188060 already logged.,16-09-2024,Field Engineer,Hinglish,CUS-93298,Flower Shop,Rourkela,Odisha,Commercial Air Handler,Carrier 39XQ,Purchase Order,Yes,Rejected,Delhivery,6,Closed,319,560,No,1,NA,NA,4
C00051,"I don't know what else to do. The Carrier Greencase Display has been shelves condensating heavily for 9 days and we've lost so much already. We are a small family-run business and every day without this equipment working is pushing us further into losses. I've called 8 times, raised tickets, even came to the service center personally. Nothing has worked. Please someone help us.",26-07-2022,Service Center,English,CUS-95011,Ice Cream Parlour,Gwalior,Madhya Pradesh,Supermarket Refrigeration,Carrier Greencase Display,EMI,Yes,Pending,NA,0,Open,403,,Yes,,NA,NA,5
C00052,"Hello, I would like to follow up on my earlier service request regarding our Carrier EB-500 Evaporator. The unit has been temperature pull-down taking too long and while a technician visited 17 days ago, the issue recurred shortly after. We operate a Shopping Mall and this is affecting our day-to-day operations. A swift resolution would be greatly appreciated. Regards. AMC contract active till 2025.",17-02-2024,Web Portal,English,CUS-80269,Shopping Mall,Hyderabad,Telangana,Evaporator Unit,Carrier EB-500 Evaporator,Cash,No,NA,FedEx,13,Resolved,530,367,No,2,Desktop,NA,3
C00053,"I am writing with a heavy heart because I genuinely believed in the Carrier brand. We invested significantly in the Carrier MultiDeck MD-2000 expecting reliable performance. But the unit has been defrost not triggering at scheduled time for 12 days now, and despite two service visits the problem keeps returning. We expected so much better from a brand of this stature. AMC contract active till 2027.",01-12-2024,App,Hinglish,CUS-68068,Diagnostic Laboratory,Thiruvananthapuram,Kerala,Supermarket Refrigeration,Carrier MultiDeck MD-2000,NEFT,Yes,Rejected,NA,0,Open,302,,No,,Mobile,2.9.5,6
C00054,"Wow, what a premium experience this has been. Spent ₹90,000 on the Carrier 30RBS and it's already tripping on high pressure fault. Your customer support put me on hold for 40 minutes and then disconnected. Truly five-star service. Really makes a customer feel valued.",14-12-2024,Field Engineer,English,CUS-44542,Restaurant,Bhopal,Madhya Pradesh,Chiller/Heat Pump,Carrier 30RBS,Purchase Order,Yes,Rejected,Blue Dart,15,Escalated,162,,Yes,,Desktop,NA,2
C00055,Good day. I am registering a formal complaint regarding the Carrier GreenFreeze installed at our premises. The unit started compressor noise from display case recently and we require urgent technical assistance. Our operations depend on this equipment functioning reliably. Please send a qualified technician at the earliest and do keep us updated on timelines. Thank you.,29-07-2024,Field Engineer,Hindi-English,CUS-37033,Textile Factory,Jaipur,Rajasthan,Supermarket Refrigeration,Carrier GreenFreeze,UPI,No,NA,Delhivery,7,Closed,236,413,Yes,1,Desktop,NA,2
C00056,"Wow, what a premium experience this has been. Spent ₹60,000 on the Carrier 42KE and it's already fan motor died. Your customer support put me on hold for 40 minutes and then disconnected. Truly five-star service. Really makes a customer feel valued.",04-10-2024,Phone,English,CUS-41044,Hotel,Vijayawada,Andhra Pradesh,Fan Coil Unit,Carrier 42KE,Cheque,No,NA,Self-Delivery,13,Escalated,184,,Yes,,Phone Call,NA,7
C00057,"I am writing with a heavy heart because I genuinely believed in the Carrier brand. We invested significantly in the Air One AO-Pro expecting reliable performance. But the unit has been stopped working after 3 weeks for 20 days now, and despite two service visits the problem keeps returning. We expected so much better from a brand of this stature. 😤 Job card #726212 already logged.",05-05-2022,Web Portal,English,CUS-15268,Meat Processing Unit,Bilaspur,Chhattisgarh,Air One Purifier,Air One AO-Pro,Credit Card,No,NA,FedEx,17,Escalated,526,,Yes,,Desktop,NA,6
C00058,Congratulations Carrier! Your Carrier InvCU-3TR managed to start showing error code on display panel in just 18 months. Quite an achievement. And the support team is equally impressive - they have promised a callback 4 times now and each time they deliver on that promise by never calling. Outstanding work all around. 😡,17-02-2023,Service Center,English,CUS-97382,Pharmacy,Ranchi,Jharkhand,Inverter Condensing Unit,Carrier InvCU-3TR,UPI,No,NA,NA,0,Escalated,1095,,Yes,,Tablet,NA,4
C00059,"Bhai yaar sun lo, Air One AO-Pro ka kya haal kar diya hai. 16 din se stopped working after 3 weeks ki problem chal rahi hai aur koi sunne wala nahi. 11 baar call kiya service pe, har baar same answer - 'sir kal aayenge'. Kal kabhi aata hi nahi. Paisa le liya, kaam kuch nahi. Bahut hi bekar experience hai.",09-10-2022,Email,Hinglish,CUS-91781,Shopping Mall,Kolhapur,Maharashtra,Air One Purifier,Air One AO-Pro,EMI,No,NA,NA,0,In Progress,613,,No,,Desktop,NA,2
C00060,"I don't know what else to do. The Carrier 42GW has been thermostat not responding for 10 days and we've lost so much already. We are a small family-run business and every day without this equipment working is pushing us further into losses. I've called 3 times, raised tickets, even came to the service center personally. Nothing has worked. Please someone help us. Spare part ordered 16 days ago, still not received.",05-10-2022,App,English,CUS-62950,Meat Processing Unit,Bhubaneswar,Odisha,Fan Coil Unit,Carrier 42GW,Credit Card,No,NA,FedEx,21,Open,86,,Yes,,Mobile,2.4.3,6
C00061,Good day. I am registering a formal complaint regarding the Carrier InvCU-5TR installed at our premises. The unit started loud noise from compressor area recently and we require urgent technical assistance. Our operations depend on this equipment functioning reliably. Please send a qualified technician at the earliest and do keep us updated on timelines. Thank you.,24-11-2022,WhatsApp,Hindi-English,CUS-19823,Ice Cream Parlour,Kochi,Kerala,Inverter Condensing Unit,Carrier InvCU-5TR,Cheque,No,NA,NA,0,In Progress,905,,No,,Mobile,NA,0
C00062,Congratulations Carrier! Your Carrier 19XR managed to start completely down in just 5 months. Quite an achievement. And the support team is equally impressive - they have promised a callback 2 times now and each time they deliver on that promise by never calling. Outstanding work all around.,15-03-2023,Web Portal,English,CUS-72187,Flower Shop,Rourkela,Odisha,Chiller/Heat Pump,Carrier 19XR,Credit Card,Yes,Approved,FedEx,18,Resolved,390,88,No,3,Desktop,NA,7
